indice,tempo_s,resultado,latencia_ms
132,2.142,rejeitado_conexao_fechada,0.792
133,2.176,rejeitado_conexao_fechada,24.443
134,2.192,rejeitado_conexao_fechada,15.759
135,2.206,rejeitado_conexao_fechada,14.096
136,2.229,rejeitado_conexao_fechada,23.189
137,2.244,rejeitado_conexao_fechada,14.892
138,2.245,rejeitado_conexao_fechada,0.606
139,2.281,rejeitado_conexao_fechada,26.136
140,2.281,rejeitado_conexao_fechada,0.623
141,2.305,rejeitado_conexao_fechada,14.226
142,2.305,rejeitado_conexao_fechada,0.580
143,2.337,rejeitado_conexao_fechada,22.072
144,2.354,rejeitado_conexao_fechada,17.372
145,2.355,rejeitado_conexao_fechada,0.937
146,2.366,rejeitado_conexao_fechada,0.987
147,2.376,rejeitado_conexao_fechada,0.991
148,2.408,rejeitado_conexao_fechada,22.739
149,2.423,rejeitado_conexao_fechada,14.231
150,2.439,rejeitado_conexao_fechada,16.128
151,2.439,rejeitado_conexao_fechada,0.686
152,2.471,rejeitado_conexao_fechada,20.996
153,2.488,rejeitado_conexao_fechada,16.786
154,2.506,rejeitado_conexao_fechada,17.893
155,2.521,rejeitado_conexao_fechada,15.687
156,2.537,rejeitado_conexao_fechada,15.395
157,2.552,rejeitado_conexao_fechada,15.341
158,2.571,rejeitado_conexao_fechada,18.661
159,2.587,rejeitado_conexao_fechada,15.949
160,2.587,rejeitado_conexao_fechada,0.690
161,2.610,rejeitado_conexao_fechada,13.497
162,2.611,rejeitado_conexao_fechada,0.744
163,2.621,rejeitado_conexao_fechada,0.640
164,2.646,rejeitado_conexao_fechada,14.861
165,2.647,rejeitado_conexao_fechada,0.842
166,2.657,rejeitado_conexao_fechada,0.530
167,2.687,rejeitado_conexao_fechada,20.018
168,2.688,rejeitado_conexao_fechada,0.871
169,2.721,rejeitado_conexao_fechada,23.696
170,2.734,rejeitado_conexao_fechada,13.372
171,2.735,rejeitado_conexao_fechada,0.772
172,2.765,rejeitado_conexao_fechada,20.323
173,2.787,rejeitado_conexao_fechada,21.522
174,2.805,rejeitado_conexao_fechada,18.008
175,2.821,rejeitado_conexao_fechada,16.016
176,2.837,rejeitado_conexao_fechada,16.118
177,2.853,rejeitado_conexao_fechada,16.317
178,2.874,rejeitado_conexao_fechada,21.088
179,2.890,rejeitado_conexao_fechada,15.713
180,2.906,rejeitado_conexao_fechada,15.747
181,2.922,rejeitado_conexao_fechada,16.580
182,2.938,rejeitado_conexao_fechada,16.191
183,2.954,rejeitado_conexao_fechada,15.505
184,2.970,rejeitado_conexao_fechada,16.223
185,2.986,rejeitado_conexao_fechada,15.471
186,3.002,rejeitado_conexao_fechada,16.850
187,3.018,rejeitado_conexao_fechada,15.317
188,3.034,rejeitado_conexao_fechada,16.374
189,3.051,rejeitado_conexao_fechada,16.523
190,3.067,rejeitado_conexao_fechada,16.370
191,3.083,rejeitado_conexao_fechada,16.181
192,3.103,rejeitado_conexao_fechada,19.959
193,3.104,rejeitado_conexao_fechada,0.723
194,3.137,rejeitado_conexao_fechada,22.583
195,3.154,rejeitado_conexao_fechada,16.299
196,3.170,rejeitado_conexao_fechada,16.364
197,3.186,rejeitado_conexao_fechada,16.097
198,3.203,rejeitado_conexao_fechada,16.617
199,3.222,rejeitado_conexao_fechada,19.683
200,3.238,rejeitado_conexao_fechada,15.365
201,3.239,rejeitado_conexao_fechada,0.907
202,3.272,rejeitado_conexao_fechada,23.370
203,3.273,rejeitado_conexao_fechada,0.705
204,3.305,rejeitado_conexao_fechada,21.559
205,3.305,rejeitado_conexao_fechada,0.792
206,3.326,rejeitado_conexao_fechada,10.984
207,3.327,rejeitado_conexao_fechada,0.656
208,3.346,rejeitado_conexao_fechada,10.286
209,3.371,rejeitado_conexao_fechada,24.534
210,3.389,rejeitado_conexao_fechada,17.929
211,3.405,rejeitado_conexao_fechada,15.716
212,3.421,rejeitado_conexao_fechada,16.043
213,3.436,rejeitado_conexao_fechada,15.631
214,3.453,rejeitado_conexao_fechada,16.487
215,3.474,rejeitado_conexao_fechada,21.265
216,3.489,rejeitado_conexao_fechada,15.387
217,3.490,rejeitado_conexao_fechada,0.717
218,3.520,rejeitado_conexao_fechada,20.210
219,3.538,rejeitado_conexao_fechada,18.137
220,3.555,rejeitado_conexao_fechada,16.358
221,3.571,rejeitado_conexao_fechada,16.441
222,3.572,rejeitado_conexao_fechada,0.894
223,3.603,rejeitado_conexao_fechada,21.678
224,3.621,rejeitado_conexao_fechada,17.997
225,3.636,rejeitado_conexao_fechada,14.734
226,3.655,rejeitado_conexao_fechada,19.097
227,3.672,rejeitado_conexao_fechada,16.801
228,3.688,rejeitado_conexao_fechada,16.219
229,3.704,rejeitado_conexao_fechada,15.988
230,3.720,rejeitado_conexao_fechada,16.098
231,3.736,rejeitado_conexao_fechada,16.122
232,3.752,rejeitado_conexao_fechada,15.812
233,3.768,rejeitado_conexao_fechada,16.339
234,3.785,rejeitado_conexao_fechada,16.436
235,3.786,rejeitado_conexao_fechada,0.959
236,3.816,rejeitado_conexao_fechada,20.249
237,3.817,rejeitado_conexao_fechada,0.694
