indice,tempo_s,resultado,latencia_ms
176,1.850,rejeitado_500,2.735
177,1.860,rejeitado_500,3.104
178,1.871,rejeitado_500,2.950
179,1.881,rejeitado_500,2.855
180,1.891,rejeitado_500,2.783
181,1.901,rejeitado_500,2.519
182,1.913,rejeitado_500,4.112
183,1.922,rejeitado_500,2.669
184,1.932,rejeitado_500,2.890
185,1.942,rejeitado_500,2.700
186,1.953,rejeitado_500,2.770
187,1.965,rejeitado_500,4.301
188,1.973,rejeitado_500,2.752
189,1.984,rejeitado_500,2.881
190,1.994,rejeitado_500,2.685
191,2.004,rejeitado_500,2.816
192,2.015,rejeitado_500,3.261
193,2.025,rejeitado_500,2.802
194,2.036,rejeitado_500,3.228
195,2.045,rejeitado_500,2.840
196,2.055,rejeitado_500,2.524
197,2.066,rejeitado_500,2.876
198,2.076,rejeitado_500,2.635
199,2.086,rejeitado_500,2.921
200,2.096,rejeitado_500,2.784
201,2.106,rejeitado_500,2.745
202,2.117,rejeitado_500,3.202
203,2.127,rejeitado_500,2.812
204,2.137,rejeitado_500,2.603
205,2.147,rejeitado_500,2.671
206,2.158,rejeitado_500,2.641
207,2.169,rejeitado_500,3.128
208,2.178,rejeitado_500,2.705
209,2.188,rejeitado_500,2.469
210,2.199,rejeitado_500,2.683
211,2.209,rejeitado_500,2.677
212,2.219,rejeitado_500,2.735
213,2.229,rejeitado_500,2.573
214,2.240,rejeitado_500,2.719
215,2.250,rejeitado_500,2.604
216,2.262,rejeitado_500,3.918
217,2.271,rejeitado_500,3.048
218,2.281,rejeitado_500,2.890
219,2.291,rejeitado_500,3.127
220,2.301,rejeitado_500,2.781
221,2.312,rejeitado_500,3.211
222,2.322,rejeitado_500,2.947
223,2.332,rejeitado_500,2.915
224,2.343,rejeitado_500,2.942
225,2.353,rejeitado_500,2.763
226,2.363,rejeitado_500,2.919
227,2.374,rejeitado_500,3.383
228,2.383,rejeitado_500,3.038
229,2.394,rejeitado_500,2.904
230,2.404,rejeitado_500,2.808
231,2.415,rejeitado_500,3.005
232,2.425,rejeitado_500,2.872
233,2.435,rejeitado_500,2.979
234,2.446,rejeitado_500,3.086
235,2.456,rejeitado_500,2.930
236,2.467,rejeitado_500,2.953
237,2.477,rejeitado_500,3.250
238,2.487,rejeitado_500,2.773
239,2.498,rejeitado_500,3.055
240,2.508,rejeitado_500,2.976
241,2.518,rejeitado_500,2.998
242,2.528,rejeitado_500,2.950
243,2.538,rejeitado_500,2.925
244,2.549,rejeitado_500,3.036
245,2.559,rejeitado_500,2.845
246,2.569,rejeitado_500,2.588
247,2.579,rejeitado_500,2.820
248,2.590,rejeitado_500,2.817
249,2.600,rejeitado_500,2.687
250,2.610,rejeitado_500,2.824
251,2.621,rejeitado_500,3.170
252,2.631,rejeitado_500,3.024
253,2.642,rejeitado_500,2.850
254,2.652,rejeitado_500,2.897
255,2.662,rejeitado_500,2.773
256,2.673,rejeitado_500,2.774
257,2.683,rejeitado_500,2.725
258,2.693,rejeitado_500,2.669
259,2.704,rejeitado_500,2.633
260,2.714,rejeitado_500,2.870
261,2.724,rejeitado_500,2.694
262,2.734,rejeitado_500,2.485
263,2.744,rejeitado_500,2.367
264,2.755,rejeitado_500,2.447
265,2.765,rejeitado_500,2.721
266,2.775,rejeitado_500,2.456
267,2.785,rejeitado_500,2.666
268,2.795,rejeitado_500,2.510
269,2.806,rejeitado_500,2.956
270,2.816,rejeitado_500,2.826
271,2.827,rejeitado_500,3.037
272,2.837,rejeitado_500,2.854
273,2.848,rejeitado_500,2.882
274,2.858,rejeitado_500,2.867
275,2.868,rejeitado_500,2.859
276,2.878,rejeitado_500,2.821
277,2.889,rejeitado_500,2.845
278,2.899,rejeitado_500,2.853
279,2.910,rejeitado_500,2.630
280,2.920,rejeitado_500,2.850
281,2.930,rejeitado_500,2.725
282,2.940,rejeitado_500,2.843
283,2.951,rejeitado_500,2.708
284,2.961,rejeitado_500,2.720
285,2.971,rejeitado_500,2.479
286,2.981,rejeitado_500,2.938
287,2.992,rejeitado_500,2.748
288,3.002,rejeitado_500,2.718
289,3.012,rejeitado_500,2.833
290,3.022,rejeitado_500,2.599
291,3.033,rejeitado_500,3.051
292,3.043,rejeitado_500,2.487
293,3.053,rejeitado_500,3.006
294,3.063,rejeitado_500,2.701
295,3.074,rejeitado_500,3.060
296,3.084,rejeitado_500,2.707
297,3.094,rejeitado_500,2.528
298,3.106,rejeitado_500,4.050
299,3.115,rejeitado_500,2.892
300,3.126,rejeitado_500,2.757
301,3.136,rejeitado_500,2.866
302,3.147,rejeitado_500,2.934
303,3.157,rejeitado_500,2.756
304,3.167,rejeitado_500,2.775
305,3.177,rejeitado_500,2.709
306,3.188,rejeitado_500,2.729
307,3.198,rejeitado_500,2.919
308,3.208,rejeitado_500,2.707
309,3.218,rejeitado_500,2.763
310,3.230,rejeitado_500,4.382
311,3.239,rejeitado_500,3.082
312,3.249,rejeitado_500,2.828
313,3.260,rejeitado_500,2.859
314,3.270,rejeitado_500,2.950
315,3.280,rejeitado_500,2.786
316,3.290,rejeitado_500,2.806
317,3.301,rejeitado_500,2.841
318,3.311,rejeitado_500,2.857
319,3.322,rejeitado_500,3.029
320,3.332,rejeitado_500,2.942
321,3.342,rejeitado_500,2.749
322,3.353,rejeitado_500,3.008
323,3.363,rejeitado_500,3.059
324,3.373,rejeitado_500,2.904
325,3.383,rejeitado_500,2.754
326,3.394,rejeitado_500,2.775
327,3.404,rejeitado_500,2.541
328,3.414,rejeitado_500,2.858
329,3.425,rejeitado_500,2.873
330,3.435,rejeitado_500,2.628
331,3.445,rejeitado_500,2.481
332,3.456,rejeitado_500,2.958
333,3.466,rejeitado_500,2.858
334,3.476,rejeitado_500,2.898
335,3.486,rejeitado_500,2.636
336,3.497,rejeitado_500,2.614
337,3.507,rejeitado_500,2.776
338,3.517,rejeitado_500,2.651
339,3.528,rejeitado_500,2.624
340,3.539,rejeitado_500,2.991
341,3.549,rejeitado_500,3.122
342,3.560,rejeitado_500,3.256
343,3.569,rejeitado_500,2.997
344,3.580,rejeitado_500,2.957
345,3.590,rejeitado_500,2.973
346,3.600,rejeitado_500,2.791
347,3.611,rejeitado_500,2.718
348,3.621,rejeitado_500,2.773
349,3.631,rejeitado_500,2.975
350,3.641,rejeitado_500,2.749
351,3.652,rejeitado_500,2.856
352,3.662,rejeitado_500,2.641
353,3.673,rejeitado_500,2.852
354,3.683,rejeitado_500,2.755
355,3.693,rejeitado_500,2.987
356,3.703,rejeitado_500,3.004
357,3.713,rejeitado_500,3.026
358,3.723,rejeitado_500,2.822
359,3.734,rejeitado_500,3.038
360,3.744,rejeitado_500,2.693
361,3.754,rejeitado_500,2.884
362,3.765,rejeitado_500,2.908
363,3.775,rejeitado_500,3.254
364,3.785,rejeitado_500,2.665
365,3.796,rejeitado_500,2.785
366,3.806,rejeitado_500,2.313
367,3.816,rejeitado_500,2.167
368,3.828,rejeitado_500,3.747
369,3.837,rejeitado_500,2.391
370,3.847,rejeitado_500,2.428
371,3.859,rejeitado_500,3.614
372,3.869,rejeitado_500,3.615
373,3.879,rejeitado_500,3.322
374,3.890,rejeitado_500,3.757
375,3.901,rejeitado_500,3.831
376,3.910,rejeitado_500,2.844
377,3.922,rejeitado_500,3.808
378,3.932,rejeitado_500,3.376
379,3.942,rejeitado_500,3.455
380,3.952,rejeitado_500,2.610
381,3.963,rejeitado_500,3.222
382,3.974,rejeitado_500,3.812
383,3.985,rejeitado_500,3.821
384,3.994,rejeitado_500,3.002
385,4.006,rejeitado_500,3.758
386,4.016,rejeitado_500,3.807
387,4.027,rejeitado_500,3.785
388,4.038,rejeitado_500,3.780
389,4.047,rejeitado_500,2.663
390,4.059,rejeitado_500,4.149
391,4.068,rejeitado_500,2.728
392,4.079,rejeitado_500,3.229
393,4.088,rejeitado_500,2.392
394,4.098,rejeitado_500,2.365
395,4.108,rejeitado_500,2.187
396,4.121,rejeitado_500,3.503
397,4.131,rejeitado_500,3.341
398,4.142,rejeitado_500,3.790
399,4.153,rejeitado_500,3.824
400,4.163,rejeitado_500,3.728
401,4.174,rejeitado_500,3.582
402,4.185,rejeitado_500,3.751
403,4.196,rejeitado_500,3.784
404,4.206,rejeitado_500,3.549
405,4.217,rejeitado_500,3.642
406,4.227,rejeitado_500,3.478
407,4.238,rejeitado_500,3.754
408,4.249,rejeitado_500,3.729
409,4.259,rejeitado_500,3.731
410,4.270,rejeitado_500,3.943
411,4.281,rejeitado_500,3.938
412,4.292,rejeitado_500,3.902
413,4.303,rejeitado_500,3.661
414,4.312,rejeitado_500,2.696
415,4.323,rejeitado_500,2.781
416,4.332,rejeitado_500,2.221
417,4.343,rejeitado_500,2.541
418,4.353,rejeitado_500,2.281
419,4.365,rejeitado_500,3.609
420,4.375,rejeitado_500,3.658
421,4.386,rejeitado_500,4.092
422,4.396,rejeitado_500,3.162
423,4.406,rejeitado_500,2.859
424,4.417,rejeitado_500,3.630
425,4.426,rejeitado_500,3.137
426,4.436,rejeitado_500,3.051
427,4.446,rejeitado_500,2.476
428,4.457,rejeitado_500,2.942
429,4.467,rejeitado_500,2.441
