indice,tempo_s,resultado,latencia_ms
176,25.497,rejeitado_500,128.035
177,25.615,rejeitado_500,118.051
178,25.730,rejeitado_500,115.591
179,25.852,rejeitado_500,121.770
180,25.977,rejeitado_500,125.309
181,26.102,rejeitado_500,125.022
182,26.217,rejeitado_500,114.048
183,26.346,rejeitado_500,129.120
184,26.473,rejeitado_500,127.563
185,26.587,rejeitado_500,113.450
186,26.701,rejeitado_500,114.449
187,26.808,rejeitado_500,106.744
188,26.920,rejeitado_500,112.532
189,27.042,rejeitado_500,122.014
190,27.139,rejeitado_500,96.735
191,27.257,rejeitado_500,117.697
192,27.374,rejeitado_500,117.504
193,27.501,rejeitado_500,126.182
194,27.614,rejeitado_500,113.886
195,27.731,rejeitado_500,116.499
196,28.288,rejeitado_500,557.203
197,28.419,rejeitado_500,130.595
198,28.646,rejeitado_500,227.652
199,28.766,rejeitado_500,119.657
200,28.890,rejeitado_500,123.825
201,29.011,rejeitado_500,120.921
202,29.131,rejeitado_500,119.637
203,29.259,rejeitado_500,128.251
204,29.373,rejeitado_500,114.378
205,29.483,rejeitado_500,109.838
206,29.582,rejeitado_500,98.743
207,29.711,rejeitado_500,129.141
208,29.837,rejeitado_500,126.318
209,29.947,rejeitado_500,109.601
210,30.066,rejeitado_500,119.572
